iter	Passed	Remaining
560	38159	2652
561	38224	2584
562	38289	2516
563	38351	2447
564	38417	2379
565	38483	2311
566	38556	2244
567	38622	2175
568	38691	2107
569	38767	2040
570	38844	1972
571	38918	1905
572	38983	1836
573	39054	1768
574	39117	1700
575	39175	1632
576	39239	1564
577	39308	1496
578	39373	1428
579	39438	1359
580	39498	1291
581	39562	1223
582	39630	1155
583	39692	1087
584	39765	1019
585	39833	951
586	39899	883
587	39964	815
588	40045	747
589	40111	679
590	40179	611
591	40238	543
592	40298	475
593	40369	407
594	40435	339
595	40503	271
596	40567	203
597	40644	135
598	40713	67
599	40776	0
